Model,Dataset,Bin,N,Mean confidence,Accuracy,Abs gap
Qwen2.5-7B,MedQA,0.0-0.1,4205,0.0,0.5784,0.5784
Qwen2.5-7B,MedQA,0.7-0.8,2,0.8,0.5,0.3
Qwen2.5-7B,MedQA,0.8-0.9,30,0.8933,0.7333,0.16
Qwen2.5-7B,MedQA,0.9-1.0,763,0.996,0.6684,0.3276
Qwen2.5-7B,MedMCQA,0.0-0.1,3860,0.0,0.5495,0.5495
Qwen2.5-7B,MedMCQA,0.4-0.5,1,0.5,1.0,0.5
Qwen2.5-7B,MedMCQA,0.7-0.8,2,0.775,0.5,0.275
Qwen2.5-7B,MedMCQA,0.8-0.9,8,0.8938,0.25,0.6438
Qwen2.5-7B,MedMCQA,0.9-1.0,312,0.9978,0.7019,0.2958
Qwen2.5-7B,PubMedQA,0.0-0.1,759,0.0,0.7708,0.7708
Qwen2.5-7B,PubMedQA,0.8-0.9,4,0.9,0.5,0.4
Qwen2.5-7B,PubMedQA,0.9-1.0,237,0.9958,0.7004,0.2954
Phi-4-mini,MedQA,0.0-0.1,3084,0.0,0.4977,0.4977
Phi-4-mini,MedQA,0.1-0.2,1,0.2,0.0,0.2
Phi-4-mini,MedQA,0.4-0.5,327,0.5,0.4587,0.0413
Phi-4-mini,MedQA,0.5-0.6,23,0.6,0.6087,0.0087
Phi-4-mini,MedQA,0.6-0.7,19,0.6497,0.3158,0.3339
Phi-4-mini,MedQA,0.7-0.8,52,0.7613,0.4808,0.2806
Phi-4-mini,MedQA,0.8-0.9,486,0.8966,0.5041,0.3925
Phi-4-mini,MedQA,0.9-1.0,945,1.0,0.6106,0.3894
Phi-4-mini,MedMCQA,0.0-0.1,2584,0.0001,0.4698,0.4697
Phi-4-mini,MedMCQA,0.4-0.5,143,0.5,0.5315,0.0315
Phi-4-mini,MedMCQA,0.5-0.6,13,0.5962,0.6923,0.0962
Phi-4-mini,MedMCQA,0.6-0.7,6,0.65,0.6667,0.0167
Phi-4-mini,MedMCQA,0.7-0.8,3,0.7867,0.3333,0.4533
Phi-4-mini,MedMCQA,0.8-0.9,343,0.8959,0.5219,0.374
Phi-4-mini,MedMCQA,0.9-1.0,1082,0.9999,0.5018,0.4981
Phi-4-mini,PubMedQA,0.0-0.1,889,0.0,0.6952,0.6952
Phi-4-mini,PubMedQA,0.4-0.5,21,0.5,0.6667,0.1667
Phi-4-mini,PubMedQA,0.7-0.8,1,0.78,1.0,0.22
Phi-4-mini,PubMedQA,0.8-0.9,7,0.85,0.7143,0.1357
Phi-4-mini,PubMedQA,0.9-1.0,81,1.0,0.8765,0.1235
