Model,Dataset,Fallback order,N,Parse coverage,Accuracy
Qwen2.5-7B,MedQA,direct>cot>hyp,5000,1.0,0.593
Qwen2.5-7B,MedQA,direct>hyp>cot,5000,1.0,0.5894
Qwen2.5-7B,MedQA,cot>direct>hyp,5000,1.0,0.6024
Qwen2.5-7B,MedQA,cot>hyp>direct,5000,1.0,0.6014
Qwen2.5-7B,MedQA,hyp>direct>cot,5000,1.0,0.582
Qwen2.5-7B,MedQA,hyp>cot>direct,5000,1.0,0.582
Qwen2.5-7B,MedMCQA,direct>cot>hyp,4183,1.0,0.5604
Qwen2.5-7B,MedMCQA,direct>hyp>cot,4183,1.0,0.558
Qwen2.5-7B,MedMCQA,cot>direct>hyp,4183,1.0,0.5663
Qwen2.5-7B,MedMCQA,cot>hyp>direct,4183,1.0,0.5663
Qwen2.5-7B,MedMCQA,hyp>direct>cot,4183,1.0,0.5534
Qwen2.5-7B,MedMCQA,hyp>cot>direct,4183,1.0,0.5551
Qwen2.5-7B,PubMedQA,direct>cot>hyp,1000,1.0,0.753
Qwen2.5-7B,PubMedQA,direct>hyp>cot,1000,1.0,0.753
Qwen2.5-7B,PubMedQA,cot>direct>hyp,1000,1.0,0.755
Qwen2.5-7B,PubMedQA,cot>hyp>direct,1000,1.0,0.755
Qwen2.5-7B,PubMedQA,hyp>direct>cot,1000,1.0,0.757
Qwen2.5-7B,PubMedQA,hyp>cot>direct,1000,1.0,0.757
Phi-4-mini,MedQA,direct>cot>hyp,5000,0.9874,0.5104
Phi-4-mini,MedQA,direct>hyp>cot,5000,0.9874,0.4772
Phi-4-mini,MedQA,cot>direct>hyp,5000,0.9874,0.5044
Phi-4-mini,MedQA,cot>hyp>direct,5000,0.9874,0.4962
Phi-4-mini,MedQA,hyp>direct>cot,5000,0.9874,0.4606
Phi-4-mini,MedQA,hyp>cot>direct,5000,0.9874,0.4586
Phi-4-mini,MedMCQA,direct>cot>hyp,4183,0.9978,0.4843
Phi-4-mini,MedMCQA,direct>hyp>cot,4183,0.9978,0.4674
Phi-4-mini,MedMCQA,cot>direct>hyp,4183,0.9978,0.487
Phi-4-mini,MedMCQA,cot>hyp>direct,4183,0.9978,0.4757
Phi-4-mini,MedMCQA,hyp>direct>cot,4183,0.9978,0.4571
Phi-4-mini,MedMCQA,hyp>cot>direct,4183,0.9978,0.458
Phi-4-mini,PubMedQA,direct>cot>hyp,1000,0.999,0.709
Phi-4-mini,PubMedQA,direct>hyp>cot,1000,0.999,0.645
Phi-4-mini,PubMedQA,cot>direct>hyp,1000,0.999,0.722
Phi-4-mini,PubMedQA,cot>hyp>direct,1000,0.999,0.725
Phi-4-mini,PubMedQA,hyp>direct>cot,1000,0.999,0.648
Phi-4-mini,PubMedQA,hyp>cot>direct,1000,0.999,0.657
